GBX		
2015-01-07T10:15:30+01:00
	2020-04-09	23
	2020-01-08	19
	2019-10-02	19
	2019-07-10	19
	2019-04-10	23
	2019-01-09	19
	2018-10-03	18
	2018-07-11	18
	2018-04-11	22
	2018-01-03	18
	2017-10-04	17
	2017-07-05	17
	2017-04-12	21
	2017-01-05	17
	2016-10-06	16
	2016-07-07	16
2015-03-07T10:15:30+01:00
	2020-04-09	22
	2020-01-08	18
	2019-10-02	18
	2019-07-10	18
	2019-04-10	22
	2019-01-09	18
	2018-10-03	17
	2018-07-11	17
	2018-04-11	21
	2018-01-03	17
	2017-10-04	16
	2017-07-05	16
	2017-04-12	20
	2017-01-05	16
	2016-10-06	15
	2016-07-07	15
2015-06-07T10:15:30+01:00
	2020-04-09	21
	2020-01-08	17
	2019-10-02	17
	2019-07-10	17
	2019-04-10	21
	2019-01-09	17
	2018-10-03	16
	2018-07-11	16
	2018-04-11	20
	2018-01-03	16
	2017-10-04	15
	2017-07-05	15
	2017-04-12	19
	2017-01-05	15
	2016-10-06	14
	2016-07-07	14
2015-09-07T10:15:30+01:00
	2020-04-09	20
	2020-01-08	16
	2019-10-02	16
	2019-07-10	16
	2019-04-10	20
	2019-01-09	16
	2018-10-03	15
	2018-07-11	15
	2018-04-11	19
	2018-01-03	15
	2017-10-04	14
	2017-07-05	14
	2017-04-12	18
	2017-01-05	14
	2016-10-06	13
	2016-07-07	13
